year,races,starts,classified_finishes,unique_winners,total_positive_position_gain,finish_rate_pct
1950,7,160,83,3,508,51.87500000000001
1951,8,179,90,6,455,50.27932960893855
1952,8,203,116,3,643,57.14285714285714
1953,9,246,127,5,776,51.6260162601626
1954,9,227,110,4,795,48.458149779735685
1955,7,173,85,4,624,49.13294797687861
1956,8,182,92,5,721,50.54945054945055
1957,8,166,89,4,495,53.6144578313253
1958,11,224,113,6,695,50.44642857142857
1959,9,179,95,6,432,53.072625698324025
1960,10,209,132,5,605,63.1578947368421
1961,8,187,113,5,594,60.42780748663101
1962,9,175,107,4,455,61.142857142857146
1963,10,200,116,3,562,57.99999999999999
1964,10,194,118,5,494,60.824742268041234
1965,10,187,118,4,400,63.101604278074866
1966,9,160,68,5,426,42.5
1967,11,200,96,6,555,48.0
1968,12,226,97,7,640,42.92035398230089
1969,11,177,90,5,415,50.847457627118644
1970,13,263,133,7,763,50.57034220532319
1971,11,257,138,6,763,53.69649805447471
1972,12,305,176,5,1013,57.70491803278689
1973,15,355,196,5,1106,55.21126760563381
1974,15,387,209,7,1361,54.00516795865633
1975,14,345,196,9,1159,56.811594202898554
1976,16,394,226,7,1302,57.360406091370564
1977,17,405,219,8,1375,54.074074074074076
1978,16,388,209,6,1368,53.865979381443296
1979,15,357,171,7,1157,47.89915966386555
1980,14,333,171,7,1160,51.35135135135135
1981,15,356,182,7,1183,51.12359550561798
1982,16,399,186,11,1467,46.616541353383454
1983,15,384,193,8,1455,50.260416666666664
1984,16,411,168,5,1476,40.87591240875913
1985,16,399,184,8,1349,46.11528822055138
1986,16,407,177,5,1219,43.48894348894349
1987,16,411,192,5,1385,46.715328467153284
1988,16,416,222,3,1334,53.36538461538461
1989,16,416,193,6,1575,46.394230769230774
1990,16,414,219,6,1290,52.89855072463768
1991,16,416,223,5,1362,53.605769230769226
1992,16,416,214,5,1465,51.442307692307686
1993,16,405,218,4,1322,53.827160493827165
1994,16,415,205,4,1480,49.39759036144578
1995,17,417,211,5,1229,50.59952038369304
1996,16,338,173,4,762,51.183431952662716
1997,17,374,215,6,1032,57.48663101604278
1998,16,347,202,4,829,58.21325648414985
1999,16,351,192,6,954,54.700854700854705
2000,17,371,230,4,992,61.99460916442049
2001,17,373,226,5,1011,60.58981233243968
2002,17,358,212,4,858,59.217877094972074
2003,16,320,212,8,727,66.25
2004,18,360,261,5,713,72.5
2005,19,376,279,5,868,74.20212765957447
2006,18,396,274,5,890,69.1919191919192
2007,17,374,281,4,692,75.1336898395722
2008,18,368,287,7,745,77.98913043478261
2009,17,339,279,6,646,82.30088495575221
2010,19,456,347,5,991,76.09649122807018
2011,19,453,374,5,889,82.560706401766
2012,20,477,402,8,1141,84.27672955974843
2013,19,418,369,5,771,88.27751196172248
2014,19,407,327,3,792,80.34398034398035
2015,19,375,302,3,665,80.53333333333333
2016,21,458,382,4,852,83.4061135371179
2017,20,398,314,5,764,78.89447236180904
2018,21,419,340,5,803,81.14558472553699
2019,21,408,359,5,660,87.99019607843137
2020,17,335,283,5,622,84.4776119402985
2021,22,428,378,6,675,88.3177570093458
2022,22,429,366,5,813,85.3146853146853
2023,22,422,372,3,737,88.15165876777252
2024,24,468,422,7,643,90.17094017094017
