constructorId,constructor,driver_race_combinations,total_stops,avg_stop_duration_ms
1,McLaren,10,1092,93407.89285714286
3,Williams,16,1110,76766.85045045045
4,Renault,9,403,63261.833746898265
5,Toro Rosso,10,683,44486.98389458272
6,Ferrari,7,1081,84862.69380203515
9,Red Bull,8,1127,84989.26353149956
10,Force India,5,609,50845.77011494253
15,Sauber,13,708,57248.313559322036
51,Alfa Romeo,5,380,148317.55
117,Aston Martin,4,338,172894.73076923078
131,Mercedes,5,1110,89250.94324324324
164,HRT,4,150,32677.766666666666
166,Virgin,2,77,24236.194805194806
205,Lotus,3,85,24444.211764705884
206,Marussia,4,233,34396.83690987124
207,Caterham,7,241,33924.61825726141
208,Lotus F1,5,285,32463.750877192982
209,Manor Marussia,6,156,84025.75
210,Haas F1 Team,8,676,103067.41420118343
211,Racing Point,3,118,104668.64406779662
213,AlphaTauri,6,322,181160.6894409938
214,Alpine F1 Team,4,309,176026.01941747573
215,RB F1 Team,3,78,141460.0
