raceId,year,name,circuit,country,starters,classified_finishes,positive_position_gain,avg_position_movement,winner_grid,dnf_count,dnf_rate_pct,pole_to_win
1,2009,Australian Grand Prix,Albert Park Grand Prix Circuit,Australia,20,15,63,6.3,1,5,25.0,True
2,2009,Malaysian Grand Prix,Sepang International Circuit,Malaysia,20,18,38,3.8,1,2,10.0,True
3,2009,Chinese Grand Prix,Shanghai International Circuit,China,20,17,42,4.2,1,3,15.0,True
4,2009,Bahrain Grand Prix,Bahrain International Circuit,Bahrain,20,19,34,3.4,4,1,5.0,False
5,2009,Spanish Grand Prix,Circuit de Barcelona-Catalunya,Spain,20,14,27,2.7,1,6,30.0,True
6,2009,Monaco Grand Prix,Circuit de Monaco,Monaco,20,15,45,4.5,1,5,25.0,True
7,2009,Turkish Grand Prix,Istanbul Park,Turkey,20,18,26,2.6,2,2,10.0,False
8,2009,British Grand Prix,Silverstone Circuit,UK,20,18,25,2.5,1,2,10.0,True
9,2009,German Grand Prix,Nürburgring,Germany,20,18,46,4.6,1,2,10.0,True
10,2009,Hungarian Grand Prix,Hungaroring,Hungary,19,16,40,4.2105263157894735,4,3,15.789473684210526,False
11,2009,European Grand Prix,Valencia Street Circuit,Spain,20,18,28,2.8,3,2,10.0,False
12,2009,Belgian Grand Prix,Circuit de Spa-Francorchamps,Belgium,20,14,38,3.8,6,6,30.0,False
13,2009,Italian Grand Prix,Autodromo Nazionale di Monza,Italy,20,16,47,4.7,5,4,20.0,False
14,2009,Singapore Grand Prix,Marina Bay Street Circuit,Singapore,20,14,32,3.2,1,6,30.0,True
15,2009,Japanese Grand Prix,Suzuka Circuit,Japan,20,17,20,2.0,1,3,15.0,True
16,2009,Brazilian Grand Prix,Autódromo José Carlos Pace,Brazil,20,14,66,6.6,2,6,30.0,False
17,2009,Abu Dhabi Grand Prix,Yas Marina Circuit,UAE,20,18,29,2.9,2,2,10.0,False
18,2008,Australian Grand Prix,Albert Park Grand Prix Circuit,Australia,22,8,70,6.363636363636363,1,14,63.63636363636363,True
19,2008,Malaysian Grand Prix,Sepang International Circuit,Malaysia,22,17,40,3.6363636363636362,2,5,22.727272727272727,False
20,2008,Bahrain Grand Prix,Bahrain International Circuit,Bahrain,22,19,34,3.090909090909091,2,3,13.636363636363635,False
21,2008,Spanish Grand Prix,Circuit de Barcelona-Catalunya,Spain,22,13,47,4.2727272727272725,1,9,40.909090909090914,True
22,2008,Turkish Grand Prix,Istanbul Park,Turkey,20,17,21,2.1,1,3,15.0,True
23,2008,Monaco Grand Prix,Circuit de Monaco,Monaco,20,14,43,4.3,3,6,30.0,False
24,2008,Canadian Grand Prix,Circuit Gilles Villeneuve,Canada,20,13,63,6.3,2,7,35.0,False
25,2008,French Grand Prix,Circuit de Nevers Magny-Cours,France,20,19,22,2.2,2,1,5.0,False
26,2008,British Grand Prix,Silverstone Circuit,UK,20,13,50,5.0,4,7,35.0,False
27,2008,German Grand Prix,Hockenheimring,Germany,20,17,40,4.0,1,3,15.0,True
28,2008,Hungarian Grand Prix,Hungaroring,Hungary,20,18,32,3.2,2,2,10.0,False
29,2008,European Grand Prix,Valencia Street Circuit,Spain,20,17,27,2.7,1,3,15.0,True
30,2008,Belgian Grand Prix,Circuit de Spa-Francorchamps,Belgium,20,18,40,4.0,2,2,10.0,False
31,2008,Italian Grand Prix,Autodromo Nazionale di Monza,Italy,20,19,48,4.8,1,1,5.0,True
32,2008,Singapore Grand Prix,Marina Bay Street Circuit,Singapore,20,15,52,5.2,15,5,25.0,False
33,2008,Japanese Grand Prix,Fuji Speedway,Japan,20,15,49,4.9,4,5,25.0,False
34,2008,Chinese Grand Prix,Shanghai International Circuit,China,20,17,36,3.6,1,3,15.0,True
35,2008,Brazilian Grand Prix,Autódromo José Carlos Pace,Brazil,20,18,31,3.1,1,2,10.0,True
36,2007,Australian Grand Prix,Albert Park Grand Prix Circuit,Australia,22,17,40,3.6363636363636362,1,5,22.727272727272727,True
37,2007,Malaysian Grand Prix,Sepang International Circuit,Malaysia,22,18,44,4.0,2,4,18.181818181818183,False
38,2007,Bahrain Grand Prix,Bahrain International Circuit,Bahrain,22,16,26,2.3636363636363638,1,6,27.27272727272727,True
39,2007,Spanish Grand Prix,Circuit de Barcelona-Catalunya,Spain,22,14,46,4.181818181818182,1,8,36.36363636363637,True
40,2007,Monaco Grand Prix,Circuit de Monaco,Monaco,22,19,38,3.4545454545454546,1,3,13.636363636363635,True
41,2007,Canadian Grand Prix,Circuit Gilles Villeneuve,Canada,22,12,65,5.909090909090909,1,10,45.45454545454545,True
42,2007,United States Grand Prix,Indianapolis Motor Speedway,USA,22,17,42,3.8181818181818183,1,5,22.727272727272727,True
43,2007,French Grand Prix,Circuit de Nevers Magny-Cours,France,22,17,34,3.090909090909091,3,5,22.727272727272727,False
44,2007,British Grand Prix,Silverstone Circuit,UK,22,16,40,3.6363636363636362,2,6,27.27272727272727,False
45,2007,European Grand Prix,Nürburgring,Germany,22,13,46,4.181818181818182,2,9,40.909090909090914,False
46,2007,Hungarian Grand Prix,Hungaroring,Hungary,22,18,22,2.0,1,4,18.181818181818183,True
47,2007,Turkish Grand Prix,Istanbul Park,Turkey,22,21,30,2.727272727272727,1,1,4.545454545454546,True
48,2007,Italian Grand Prix,Autodromo Nazionale di Monza,Italy,22,20,24,2.1818181818181817,1,2,9.090909090909092,True
